date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:17:42	55552/55552	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092e-d900%22	http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/demo/vertical-default-light/index.html	(from )
11:17:43	69/69	---MCZ	200	added ('OK')	text/plain	date:Mon,%2024%20Jun%202019%2005:47:43%20GMT	http://www.urbanui.com/robots.txt		(from )
11:17:43	22614/22614	---MCZ	200	added ('OK')	text/css	etag:W/%225cc7e755-5856%22	http://www.urbanui.com/celestial/template/vendors/typicons.font/font/typicons.css	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/typicons.font/font/typicons.css	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:44	2444/2444	---MCZ	200	added ('OK')	text/css	etag:W/%225cc7e755-98c%22	http://www.urbanui.com/celestial/template/vendors/css/vendor.bundle.base.css	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/css/vendor.bundle.base.css	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:45	1460/1460	---M--	200	added ('OK')	image/png	etag:%225cc7e755-5b4%22	http://www.urbanui.com/celestial/template/images/favicon.png	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/images/favicon.png	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:46	880468/880468	---MCZ	200	added ('OK')	text/css	etag:W/%225cc7e754-d6f54%22	http://www.urbanui.com/celestial/template/css/vertical-layout-light/style.css	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/css/vertical-layout-light/style.css	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:47	11728/11728	---M--	200	added ('OK')	image/jpeg	etag:%225cc7e755-2dd0%22	http://www.urbanui.com/celestial/template/images/faces/face4.jpg	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/images/faces/face4.jpg	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:47	3113/3113	---M--	200	added ('OK')	image/png	etag:%225cc7e755-c29%22	http://www.urbanui.com/celestial/template/images/faces/face29.png	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/images/faces/face29.png	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:47	13360/13360	---M--	200	added ('OK')	image/jpeg	etag:%225cc7e755-3430%22	http://www.urbanui.com/celestial/template/images/faces/face2.jpg	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/images/faces/face2.jpg	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:48	15550/15550	---M--	200	added ('OK')	image/jpeg	etag:%225cc7e755-3cbe%22	http://www.urbanui.com/celestial/template/images/faces/face3.jpg	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/images/faces/face3.jpg	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:48	53993/53993	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092e-d2e9%22	http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/accordions.html	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/accordions.html	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:48	55692/55692	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092e-d98c%22	http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/buttons.html	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/buttons.html	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:48	49213/49213	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092e-c03d%22	http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/widgets/widgets.html	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/demo/vertical-default-light/pages/widgets/widgets.html	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:49	40545/40545	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092e-9e61%22	http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/badges.html	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/badges.html	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:49	40754/40754	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092e-9f32%22	http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/breadcrumbs.html	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/breadcrumbs.html	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:49	62702/62702	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092e-f4ee%22	http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/dropdowns.html	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/dropdowns.html	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:50	43235/43235	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092e-a8e3%22	http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/progress.html	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/progress.html	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:50	38865/38865	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092e-97d1%22	http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/pagination.html	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/pagination.html	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:50	40555/40555	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092e-9e6b%22	http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/modals.html	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/modals.html	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:50	57602/57602	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092e-e102%22	http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/tabs.html	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/tabs.html	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:51	48938/48938	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092e-bf2a%22	http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/typography.html	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/typography.html	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
11:17:51	36995/36995	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092e-9083%22	http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/tooltips.html	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/tooltips.html	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/index.html)
